Model,Year,Price,Additions,Previous Owners,Offered,Payment Method,Number of Passengers,Car Mileage,Engine Power,Glass,Transmission Type,Car License,Car Origin,Fuel Type,Car Color,Third Party,Comprehensive (Vehicle Body),Total Insurance
كيا برايد,2007,50000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع أو التبديل,نقدا فقط,4+1,190000,1600,الكتروني,عادي,فلسطينية,تدريب سياقة,ديزل,أبيض,1340,1000,2340
بيجو 306,1997,26000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,إمكانية التقسيط,4+1,125000,1600,الكتروني,عادي,فلسطينية,حكومي,بنزين,أبيض,670,500,1170
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي توسان,2014,90000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,30000,2000,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,ديزل,فيراني,1340,1576,2915
سكودا اوكتافيا,2010,50000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, وسادة حماية هوائية",4,للبيع فقط,إمكانية التقسيط,4+1,480000,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض عاجي,1340,1000,2340
اودي 80,1989,16000,"مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد ثالثه,للبيع أو التبديل,نقدا فقط,4+1,00000000,1600,يدوي,عادي,فلسطينية,خصوصي,بنزين,رمادي,670,500,1170
شفروليه كابتيفا,2012,90000,"مُكيّف, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اول,للبيع أو التبديل,إمكانية التقسيط,6+1,١٢٠٠٠٠,2800,الكتروني,اوتوماتيك,فلسطينية,حكومي,بنزين,أسود,1690,1576,3265
سكودا اوكتافيا,2015,115000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,4+1,69000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1035,2013,3048
هونداي سانتافيه,2006,55000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",******,للبيع فقط,إمكانية التقسيط,6+1,******,2200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1690,1000,2690
كيا فورتي,2011,44999,"مُكيّف, إغلاق مركزي, جنطات مغنيسيوم",٢,للبيع أو التبديل,نقدا فقط,4+1,١٤٠,1600,الكتروني,نصف اوتوماتيك,فلسطينية,تأجير,بنزين,رمادي,1340,1000,2340
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
بي ام دبليو 316,1990,29000,"مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد",3,للبيع أو التبديل,إمكانية التقسيط,4+1,209557,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض عاجي,670,500,1170
داف 55,1998,25000,"إغلاق مركزي, جهاز إنذار, فتحة سقف",4,للبيع فقط,إمكانية التقسيط,2+1,3500,180,يدوي,نصف اوتوماتيك,فلسطينية,تجاري,ديزل,أزرق,467,500,967
اوبل كاديت,1982,12000,"مسجل CD, جنطات مغنيسيوم",,للبيع فقط,نقدا فقط,4+1,,1300,يدوي,عادي,فلسطينية,خصوصي,بنزين,أبيض,517,500,1017
شفروليه افيو,2010,39500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",ثالثة,للبيع أو التبديل,إمكانية التقسيط,4+1,,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود ميتالك,1035,1000,2035
سيت قرطبة,2003,30000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع أو التبديل,إمكانية التقسيط,4+1,5000,1900,الكتروني,عادي,فلسطينية,تدريب سياقة,ديزل,أبيض عاجي,1340,1000,2340
شفروليه افيو,2006,28000,"مُكيّف, إغلاق مركزي, جهاز إنذار, وسادة حماية هوائية",2,للبيع فقط,نقدا فقط,,150000,1400,الكتروني,عادي,فلسطينية,تأجير,بنزين,فضي,1035,1000,2035
اوبل كورسا,2009,33000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",ثالثة,للبيع أو التبديل,نقدا فقط,4+1,,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فضي,1035,1000,2035
مرسيدس C250,2014,200000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,3501,4840
كيا برايد,2015,63500,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,,,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1035,1112,2147
كيا برايد,2015,63000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",صفر,للبيع فقط,نقدا فقط,,9500,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1035,1103,2138
اوبل كورسا,2014,50000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,71000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,بترولي,1035,1000,2035
دراجة نارية SYM,2016,8000,,يد ثانية,للبيع فقط,نقدا فقط,1+1,14000,125,يدوي,اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,935,1000,1935
فولكسفاجن كبينة,1986,35000,"مُكيّف, مسجل CD, فرش جلد",٨,للبيع فقط,إمكانية التقسيط,6+1,,1600,يدوي,عادي,فلسطينية,تجاري,ديزل,أبيض عاجي,670,500,1170
فولكسفاجن كادي,2016,120000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,6+1,,2000,الكتروني,عادي,فلسطينية,خصوصي,ديزل,خمري,1340,2100,3440
فولفو FH 12,2001,200000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,,,420,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أحمر,467,1750,2217
فولكسفاجن جولف بلس,2013,97000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1698,2733
كيا ريو,2012,42000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",2,للبيع فقط,إمكانية التقسيط,4+1,37000,1400,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض عاجي,1035,1000,2035
ستروين C-Elysee,2014,52000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",يد اولى,للبيع فقط,إمكانية التقسيط,4+1,52000 كيلو,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,ذهبي,1035,1000,2035
فولكسفاجن كرافيل,2014,145000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",١,للبيع فقط,نقدا فقط,8+1,140000,2000,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,2538,3878
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي توسان,2013,89000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",اولى,للبيع فقط,إمكانية التقسيط,4+1,75000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,سكني,1340,1558,2898
سكودا اوكتافيا,2005,45000,"مُكيّف, مسجل CD, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1340,1000,2340
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
كيا ريو,2012,27000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,1400,الكتروني,عادي,فلسطينية,عمومي,ديزل,أصفر,1035,1000,2035
هونداي افانتي,2005,38000,,3,للبيع أو التبديل,إمكانية التقسيط,4+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1340,1000,2340
هونداي تيراكان,2006,58000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع أو التبديل,نقدا فقط,6+1,34000,2900,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,سكني,1690,1016,2705
فولكسفاجن جولف,2008,60000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم",3,للبيع أو التبديل,إمكانية التقسيط,4+1,211000,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,رمادي,1340,1050,2390
فورد اسكورت,1999,19500,"مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد",,للبيع فقط,نقدا فقط,4+1,,1600,الكتروني,عادي,فلسطينية,حكومي,بنزين,أبيض عاجي,670,500,1170
كيا سبورتاج,2014,105000,"جهاز إنذار, فرش جلد",يد اولى,للبيع فقط,نقدا فقط,4+1,88000,2200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1690,1838,3528
سكودا اوكتافيا,2000,25000,"إغلاق مركزي, مسجل CD, جنطات مغنيسيوم",يد ثانيه,للبيع فقط,نقدا فقط,4+1,118567,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,670,500,1170
هونداي H1,2005,20000,,1,للبيع فقط,نقدا فقط,7+1,00000,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1340,1000,2340
نيسان تيرانو,2000,53000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد رابعة,للبيع فقط,نقدا فقط,6+1,00000,2700,الكتروني,عادي,فلسطينية,خصوصي,ديزل,خمري,845,500,1345
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
كيا فورتي,2009,62000,"مُكيّف, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع فقط,إمكانية التقسيط,4+1,100000,1600,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,بنزين,خمري,1340,1085,2425
فولكسفاجن باسات,2000,24000,"إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,4+1,,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,670,500,1170
سكودا اوكتافيا,2016,117000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",ايد اولى,للبيع فقط,إمكانية التقسيط,4+1,50000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,بترولي,1340,2048,3388
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فولكسفاجن باسات,1997,28000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",٦,للبيع أو التبديل,إمكانية التقسيط,4+1,٢٢٠٠٠٠,1600,الكتروني,اوتوماتيك,فلسطينية,حكومي,بنزين,فضي,670,500,1170
كيا مورننغ,2015,49900,"مُكيّف, إغلاق مركزي, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,39000,1000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,935,1000,1935
بيجو 207,2010,38000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",3,للبيع أو التبديل,نقدا فقط,4+1,108000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1000,2035
سكودا اوكتافيا,2015,89000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,98000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,فضي,1340,1558,2898
مرسيدس E200,2006,85000,"مُكيّف, جنطات مغنيسيوم, وسادة حماية هوائية",١,للبيع أو التبديل,نقدا فقط,4+1,١٧٠,1800,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1340,1488,2828
اوبل كاديت,1984,8500,جنطات مغنيسيوم,,للبيع فقط,نقدا فقط,4+1,,1600,يدوي,عادي,فلسطينية,خصوصي,بنزين,بني,670,500,1170
هونداي توسان,2015,100000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,40000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,1751,3090
دايو ماتيز,2000,15000,"مُكيّف, مسجل CD",يد ثانيه,للبيع فقط,نقدا فقط,4+1,000000,900,يدوي,عادي,فلسطينية,خصوصي,بنزين,عدة الوان,467,500,967
هونداي توسان,2007,60000,"إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, فرش جلد",,للبيع فقط,إمكانية التقسيط,7+1,٦٠٠٠٠,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أخضر,1340,1050,2390
